step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,6.11446,0.5,,
2,7.38536,0.33333,,
3,6.63795,0.25,,
4,6.80176,0.4,,
5,4.90248,0.5,,
6,7.0963,0.33333,,
7,5.98849,0.33333,,
8,5.13945,0.33333,,
9,3.99115,0.25,,
10,3.17253,0.5,,
11,2.57216,0.5,,
12,1.82419,0.5,,
13,3.27125,0.5,,
14,1.18722,0.75,,
15,1.36634,0.75,,
16,2.22914,0.75,,
17,3.69866,0.6,,
18,1.76103,0.75,,
19,0.41577,0.75,,
20,0.48227,0.75,,
21,1.9205,0.66667,,
22,0.50339,0.75,,
23,1.89566,0.66667,,
24,3.35791,0.6,,
25,2.7257,0.6,,
26,0.03119,1.0,,
27,0.06233,1.0,,
28,0.18232,1.0,,
29,0.07345,1.0,,
30,1.81484,0.8,,
31,0.44629,0.66667,,
32,0.22415,1.0,,
33,0.00709,1.0,,
34,0.01004,1.0,,
35,1.41219,0.75,,
36,1.60592,0.8,,
37,1.88172,0.8,,
38,1.32612,0.8,,
39,0.00105,1.0,,
40,2.29808,0.75,,
41,1.34003,0.8,,
42,0.28234,0.8,,
43,0.00583,1.0,,
44,0.73931,0.75,,
45,0.0401,1.0,,
46,0.03135,1.0,,
47,0.03018,1.0,,
48,0.00037,1.0,,
49,1.49269,0.75,,
50,0.29582,0.66667,,
51,0.55025,0.75,,
52,0.05818,1.0,,
53,0.00596,1.0,,
54,0.00083,1.0,,
55,0.00114,1.0,,
56,0.00096,1.0,,
57,0.6843,0.8,,
58,0.01815,1.0,,
59,1.19201,0.75,,
60,0.00035,1.0,,
61,0.8559,0.75,,
62,3.10913,0.75,,
63,0.50659,0.75,,
64,2.99307,0.75,,
65,0.00205,1.0,,
66,7e-05,1.0,,
67,3e-05,1.0,,
68,3e-05,1.0,,
69,0.01226,1.0,,
70,6e-05,1.0,,
71,0.4769,0.8,,
72,2e-05,1.0,,
73,3e-05,1.0,,
74,1e-05,1.0,,
75,2.45388,0.8,,
76,2.56322,0.75,,
77,2e-05,1.0,,
78,3e-05,1.0,,
79,2e-05,1.0,,
80,1e-05,1.0,,
81,3.80468,0.75,,
82,1e-05,1.0,,
83,4.09855,0.75,,
84,1e-05,1.0,,
85,0.00038,1.0,,
86,1e-05,1.0,,
87,1e-05,1.0,,
88,1e-05,1.0,,
89,1e-05,1.0,,
90,1.25362,0.75,,
91,1e-05,1.0,,
92,1e-05,1.0,,
93,1e-05,1.0,,
94,1e-05,1.0,,
95,1.63676,0.8,,
96,0.0,1.0,,
97,1e-05,1.0,,
98,0.58125,0.75,,
99,0.0,1.0,,
100,0.0,1.0,,
101,4.40325,0.75,,
102,0.0,1.0,,
103,0.18724,0.8,,
104,1.31249,0.8,,
105,1e-05,1.0,,
106,0.00298,1.0,,
107,0.0,1.0,,
108,0.00605,1.0,,
109,1e-05,1.0,,
110,0.7521,0.8,,
111,2.05931,0.75,,
112,1.60283,0.75,,
113,0.0,1.0,,
114,0.0,1.0,,
115,0.0,1.0,,
116,0.0,1.0,,
117,0.0,1.0,,
118,0.0005,1.0,,
119,0.00035,1.0,,
120,2.23756,0.75,,
121,0.00692,1.0,,
122,0.0,1.0,,
123,0.0,1.0,,
124,4e-05,1.0,,
125,0.31543,0.75,,
126,0.0,1.0,,
127,0.0577,1.0,,
128,0.0302,1.0,,
129,0.0,1.0,,
130,1e-05,1.0,,
131,0.47281,0.66667,,
132,1e-05,1.0,,
133,0.0,1.0,,
134,4e-05,1.0,,
135,1.14299,0.75,,
136,0.49502,0.75,,
137,2.47782,0.8,,
138,3.15281,0.75,,
139,1e-05,1.0,,
140,0.00014,1.0,,
141,0.0,1.0,,
142,0.0,1.0,,
143,0.0,1.0,,
144,0.0,1.0,,
145,0.0,1.0,,
146,0.0,1.0,,
147,0.13316,1.0,,
148,0.0,1.0,,
149,0.0,1.0,,
150,1.93852,0.75,,
151,0.0,1.0,,
152,0.0,1.0,,
153,0.0,1.0,,
154,1.77077,0.8,,
155,0.00026,1.0,,
156,0.0,1.0,,
157,2e-05,1.0,,
158,0.0,1.0,,
159,0.22591,1.0,,
160,0.0,1.0,,
161,0.0,1.0,,
162,0.0,1.0,,
163,0.0,1.0,,
164,0.0,1.0,,
165,0.0,1.0,,
166,1.64713,0.75,,
167,0.0,1.0,,
168,0.24991,0.75,,
169,0.0,1.0,,
170,1.24471,0.75,,
171,0.0,1.0,,
172,0.0,1.0,,
173,0.0,1.0,,
174,0.0,1.0,,
175,0.0,1.0,,
176,2.56045,0.75,,
177,0.0,1.0,,
178,3.10995,0.75,,
179,0.0,1.0,,
180,0.0,1.0,,
181,0.0,1.0,,
182,0.0,1.0,,
183,0.0,1.0,,
184,0.0,1.0,,
185,0.0,1.0,,
186,0.0,1.0,,
187,0.0,1.0,,
188,0.41882,0.75,,
189,0.0,1.0,,
190,1e-05,1.0,,
191,0.00142,1.0,,
192,2.33447,0.75,,
193,0.0,1.0,,
194,0.0,1.0,,
195,0.0,1.0,,
196,0.0,1.0,,
197,0.7557,0.75,,
198,0.0,1.0,,
199,0.0,1.0,,
200,0.02313,1.0,,
201,0.0,1.0,,
202,1e-05,1.0,,
203,0.0,1.0,,
204,0.07278,1.0,,
205,0.0,1.0,,
206,0.0,1.0,,
207,0.0,1.0,,
